feature,mean_abs_shap
ca,1.0022497853232166
thal,0.6643697569364188
cp,0.43487340270537694
sex,0.3561468277959505
thalach,0.33156908134517227
slope,0.28283677297783155
restecg,0.25458571995844803
oldpeak,0.2513136015353998
trestbps,0.2127382963573274
exang,0.17787709701092497
age,0.15359976202074407
fbs,0.09619089433290828
chol,0.05868327585714198
