feature,mean_abs_shap
thal,0.0988878651840099
cp,0.08675757165551566
ca,0.08482792786089109
oldpeak,0.05348094732021633
exang,0.05148503771860998
slope,0.046977005901564
thalach,0.039939923595290514
sex,0.03270969243249407
age,0.021974808542842075
restecg,0.018723354984390206
chol,0.011644730978564381
trestbps,0.011519993795081278
fbs,0.0044426363713669795
