noise_level,accuracy,f1_score,roc_auc
0.05,0.8688524590163934,0.8666666666666667,0.9523809523809523
0.1,0.8688524590163934,0.8666666666666667,0.9523809523809523
0.15,0.8688524590163934,0.8666666666666667,0.9523809523809524
0.2,0.8688524590163934,0.8666666666666667,0.9556277056277056
0.25,0.8524590163934426,0.847457627118644,0.9556277056277056
0.3,0.8524590163934426,0.847457627118644,0.9567099567099567
0.35,0.8524590163934426,0.847457627118644,0.9567099567099567
0.4,0.8524590163934426,0.847457627118644,0.9567099567099567
0.45,0.8688524590163934,0.8620689655172413,0.9577922077922078
0.5,0.8688524590163934,0.8620689655172413,0.9577922077922078
0.6,0.8688524590163934,0.8620689655172413,0.9588744588744589
0.7,0.8852459016393442,0.8771929824561403,0.9577922077922079
0.8,0.9016393442622951,0.8928571428571429,0.9577922077922079
